Customer_ID,Gender,Age_Group,Region,Monthly_Income,Loan_Amount,Interest_Rate,Loan_Purpose,Loan_Status,Avg_Transaction_Freq,Avg_Transaction_Amount,Spending_Score,Behavioral_Anomaly_Index,Credit_Score,Payment_Irregularity,Default_Risk_Score,Transaction_Inconsistency,Inconsistency_Flag
CUST_0015,Male,<25,Semi-Urban,9296.32,9986.82,23.5,Home,Rejected,298,1038.84,0.33,0.53,390,0.87,0.67,0.19,0
CUST_0016,Male,60+,Urban,5201.17,15907.87,8.61,Education,Approved,135,1063.85,0.02,0.55,769,0.75,0.63,0.57,0
CUST_0017,Male,41-60,Urban,7506.12,26713.07,16.36,Business,Approved,76,807.76,0.76,0.75,766,0.87,0.8,0.81,1
CUST_0018,Female,60+,Rural,12316.42,22165.31,23.31,Personal,Approved,39,601.81,0.04,0.74,753,0.54,0.66,0.77,1
CUST_0019,Male,41-60,Urban,2413.12,15270.23,5.68,Car,Defaulted,123,1366.63,0.86,0.7,632,0.75,0.72,0.8,1
CUST_0020,Male,25-40,Semi-Urban,12166.66,30980.79,18.95,Education,Defaulted,213,423.5,0.12,0.45,806,0.14,0.33,0.88,1
CUST_0021,Other,60+,Rural,5120.92,7835.2,10.95,Home,Approved,38,1599.91,0.17,0.13,769,0.35,0.22,0.94,1
CUST_0022,Male,60+,Semi-Urban,3876.02,15315.09,23.49,Car,Rejected,140,1034.19,0.48,0.13,320,0.39,0.23,0.41,0
CUST_0023,Female,60+,Semi-Urban,3504.12,18951.73,24.42,Home,Approved,194,836.37,0.74,0.7,527,0.51,0.62,0.57,0
CUST_0024,Male,25-40,Semi-Urban,2354.25,23347.43,23.89,Personal,Approved,262,574.26,0.14,0.67,675,0.93,0.77,0.79,1
CUST_0025,Male,<25,Urban,8806.62,39473.62,14.48,Business,Approved,295,574.92,0.44,0.38,429,0.87,0.58,0.7,0
CUST_0026,Female,60+,Urban,4837.38,10784.02,22.24,Car,Approved,71,969.76,0.48,0.21,713,0.13,0.18,1,1
CUST_0027,Male,41-60,Urban,14862.61,26197.49,21.89,Car,Approved,12,1441.96,0.21,0.29,370,0.17,0.24,0.01,0
CUST_0028,Female,<25,Urban,9467.68,30028.31,11.38,Personal,Defaulted,77,724.15,0.12,0.53,703,0.36,0.46,0.36,0
CUST_0029,Male,<25,Rural,3792.51,3276.07,21.58,Education,Rejected,34,1034.19,0.84,0.54,696,0.29,0.44,0.28,0
CUST_0030,Male,<25,Urban,10953.91,30769.7,5.74,Business,Rejected,188,771.14,0.5,0.71,636,0.61,0.67,0.26,0
CUST_0031,Male,60+,Rural,13670.67,9355.68,16.93,Car,Approved,150,616,0.01,0.41,804,0.9,0.61,0.22,0
CUST_0032,Male,25-40,Semi-Urban,11687.33,4187.53,9.6,Business,Rejected,240,59.47,0.8,0.45,575,0.96,0.65,0.71,1
CUST_0033,Male,25-40,Rural,2993.72,47495.39,7.41,Car,Approved,172,17.79,0.98,0.73,312,0.65,0.7,0.08,0
CUST_0034,Female,60+,Urban,13646.49,48315.97,6.54,Business,Approved,139,462.14,0.61,0.07,302,0.84,0.38,0.74,1
CUST_0035,Female,41-60,Rural,12321.08,40611.47,18.93,Home,Approved,255,818.75,0.5,0.56,523,0.53,0.55,0.69,0
CUST_0036,Male,41-60,Urban,4057.95,15926.07,11.8,Car,Approved,181,1704.01,0.88,0.43,474,0.21,0.34,0.25,0
CUST_0037,Male,41-60,Urban,2673.22,5785.93,19.5,Business,Approved,73,1598.98,0.95,0.64,684,0.52,0.59,0.25,0
CUST_0038,Female,60+,Rural,9245.04,34527.42,6.31,Education,Approved,40,541.66,0.75,0.6,540,0.56,0.58,0.63,0
CUST_0039,Female,25-40,Rural,4028.47,22567.47,11.31,Home,Approved,56,496.64,0.45,0.36,846,0.74,0.51,0.76,1
CUST_0040,Female,60+,Semi-Urban,12849.68,6979.87,15.79,Home,Approved,139,462.37,0.59,0.4,313,0.22,0.33,0.88,1
CUST_0041,Female,25-40,Semi-Urban,6658.35,25263.67,20.81,Education,Rejected,119,685.08,0.7,0.04,494,0.37,0.17,0.85,1
CUST_0042,Male,<25,Semi-Urban,13867.6,2685.04,11.38,Business,Approved,78,1034.19,0.19,0.65,696,0.36,0.53,0.96,1
CUST_0043,Male,60+,Semi-Urban,9353.95,45556.7,17.52,Personal,Approved,67,882.95,0.45,0.55,730,0.96,0.71,0.58,0
CUST_0044,Female,25-40,Semi-Urban,4374.74,13680.22,22.72,Education,Approved,115,444.36,0.83,0.78,605,0.44,0.64,0.91,1
CUST_0045,Female,<25,Rural,3814.79,33463.59,17.32,Business,Rejected,265,1034.19,0.65,0.42,633,0.76,0.56,0.81,1
CUST_0046,Female,<25,Semi-Urban,9494.14,16273.84,9.66,Education,Approved,180,35.03,0.41,0.68,709,0.75,0.71,0.89,1
CUST_0047,Male,60+,Rural,11904.49,26483.33,5.49,Education,Defaulted,171,316.39,0.66,0.29,302,0.27,0.28,0.01,0
CUST_0048,Other,25-40,Semi-Urban,12159.57,27788.8,22.4,Car,Approved,295,1413.66,0.12,0,751,0.57,0.23,0.97,1
CUST_0049,Female,<25,Urban,5584.85,10057.87,5.43,Business,Defaulted,80,494.84,0.4,0.48,794,0.89,0.64,0.47,0
CUST_0050,Male,60+,Semi-Urban,4655.21,48509.65,22.49,Personal,Defaulted,264,942.52,0.79,0.39,716,0.48,0.43,0.8,1
CUST_0051,Female,<25,Urban,2217.83,38981.51,15.58,Car,Approved,64,1034.19,0.22,0.29,690,0.95,0.55,0.13,0
CUST_0052,Male,41-60,Rural,10829.59,47035.45,23.78,Education,Approved,12,1774.81,0.19,0.68,672,0.21,0.49,0.4,0
CUST_0053,Male,60+,Semi-Urban,2995.39,44846.54,20.98,Education,Approved,35,1778.82,0.95,0.74,351,0.07,0.47,0.27,0
CUST_0054,Male,<25,Rural,7469.9,30297.1,24.96,Education,Approved,135,1494.01,0.21,0.52,675,0.89,0.67,0.29,0
CUST_0055,Male,60+,Semi-Urban,9821.87,46171.84,12.01,Business,Approved,62,79.96,0.26,0.46,694,0.85,0.62,0.12,0
CUST_0056,Male,60+,Rural,14182.42,5336.13,20.34,Business,Approved,207,1154.39,0.97,0.51,441,0.99,0.7,0.81,1
CUST_0057,Female,25-40,Semi-Urban,6053.43,10603.16,13.04,Car,Approved,197,1575.3,0.73,0.37,385,0.68,0.49,0.01,0
CUST_0058,Male,25-40,Semi-Urban,5247.04,3216.14,14.6,Personal,Approved,195,44.4,0.7,0.61,763,0.94,0.74,0.31,0
CUST_0059,Female,<25,Urban,10504.08,16941.19,17.55,Car,Approved,213,1103.87,0.85,0.19,345,0.83,0.45,0.17,0
CUST_0060,Male,60+,Rural,10050.11,20045.19,22.47,Home,Approved,20,1716.95,0.12,0.29,537,0.84,0.51,0.59,0
CUST_0061,Male,60+,Rural,6317.43,14296.1,24.68,Education,Defaulted,155,953.46,0.71,0.34,309,0.57,0.43,0.25,0
CUST_0062,Female,41-60,Rural,14065.32,41608.14,20.37,Education,Approved,94,18.17,0.5,0.61,829,0.38,0.52,0.26,0
CUST_0063,Female,60+,Rural,12983.21,18480.91,13.36,Education,Approved,109,31.92,0.83,0.44,477,0.93,0.64,0.49,0
CUST_0064,Female,25-40,Rural,4911.77,14765.79,13.43,Car,Approved,113,1034.19,0.51,0.77,305,0.43,0.63,0.65,0
CUST_0065,Other,60+,Urban,5108.85,27592.11,19.75,Car,Rejected,55,318.47,0.62,0.66,606,0.54,0.61,0.12,0
CUST_0066,Male,25-40,Semi-Urban,8659.9,7905.29,9.78,Education,Defaulted,53,1332.26,0.48,0.34,847,0.45,0.38,0.18,0
CUST_0067,Male,41-60,Urban,12056.44,40307.65,7.21,Car,Rejected,287,1420.51,0.48,0.63,626,0.56,0.6,0.25,0
CUST_0068,Female,<25,Rural,2572.52,4652.98,12.09,Business,Defaulted,190,363.98,0.77,0.42,655,0.47,0.44,0.97,1
CUST_0069,Other,25-40,Rural,11013.36,49357.46,10.74,Business,Approved,196,1778.18,0.63,0.59,694,0.05,0.37,0.4,0
CUST_0070,Female,<25,Semi-Urban,10427.07,38839.99,10.93,Car,Rejected,123,889.4,0.63,0.67,599,0.88,0.75,0.6,0
CUST_0071,Female,<25,Urban,5009.24,10737.07,9.67,Education,Approved,264,294.26,0.45,0.72,825,0.44,0.61,0.24,0
CUST_0072,Female,<25,Semi-Urban,10857.59,1270.58,5.84,Car,Approved,39,1530.86,0.53,0.54,584,0.59,0.56,0.49,0
CUST_0073,Male,<25,Semi-Urban,14222.38,40957.61,5.36,Car,Defaulted,273,1582.05,0.75,0.82,629,0.14,0.55,0.07,0
CUST_0074,Female,25-40,Urban,2608.22,35636.01,24.75,Car,Approved,107,1282.2,0.83,0.59,349,0,0.35,0.03,0
CUST_0075,Female,41-60,Semi-Urban,6155.48,36721.35,13.56,Home,Approved,124,1708.4,0.7,0.53,677,0.25,0.42,0.47,0
CUST_0076,Female,60+,Urban,7696.3,38792.25,12.69,Business,Approved,285,1477.37,0.92,0.44,837,0.7,0.54,0.4,0
CUST_0077,Male,25-40,Urban,13690.38,4628.19,18.59,Personal,Approved,290,1765.59,0.82,0.37,443,0.1,0.26,0.14,0
CUST_0078,Male,41-60,Rural,14509.4,18564.82,9.37,Personal,Rejected,284,873.44,0.56,0.58,359,0.91,0.71,0.69,0
CUST_0079,Male,60+,Semi-Urban,7773.5,6677.58,24,Home,Approved,270,1497.72,0.67,0.52,374,0.22,0.4,0.99,1
CUST_0080,Male,<25,Rural,11750.37,43292.07,20.73,Car,Approved,216,1999.51,0.93,0.55,302,0.2,0.41,0.4,0
CUST_0081,Female,60+,Semi-Urban,8911.59,31541.61,6.79,Home,Approved,220,1452.61,0.62,0.6,747,0.18,0.43,0.62,0
CUST_0082,Male,60+,Semi-Urban,8991.18,17214,13.35,Home,Rejected,224,237.23,0.82,0.55,574,0.01,0.33,0.96,1
CUST_0083,Male,41-60,Rural,5615.29,4114.36,22.58,Education,Approved,49,1041.45,0.69,0.9,829,0.77,0.85,0.83,1
CUST_0084,Male,60+,Rural,4820.43,16238.13,23.89,Business,Approved,35,1178.82,0.55,0.39,514,0.88,0.59,0.46,0
CUST_0085,Female,<25,Rural,5744.07,16933.98,14.35,Personal,Defaulted,36,356.68,0.24,0.59,784,0.61,0.6,0.74,1
CUST_0086,Female,25-40,Urban,9232.26,36750.7,17.27,Car,Approved,199,1926.15,0.43,0.45,628,0.19,0.35,0.13,0
CUST_0087,Male,25-40,Semi-Urban,2379.02,32240.32,8.34,Personal,Approved,92,359.4,0.97,0.01,554,0.29,0.12,0.51,0
CUST_0088,Male,41-60,Urban,13794.24,44473.42,24.82,Personal,Approved,179,363.34,0.66,0.46,686,0.48,0.47,0.28,0
CUST_0089,Male,<25,Semi-Urban,4031.69,24138.53,9.63,Business,Rejected,176,1831.18,0.56,0.31,425,0.95,0.57,0.16,0
CUST_0090,Female,<25,Semi-Urban,4861.15,6860.12,23.85,Personal,Rejected,197,935.76,0.93,0.49,849,0.25,0.39,0.43,0
CUST_0091,Male,60+,Urban,8737.59,35948.99,17.99,Personal,Approved,178,135.74,0.59,0.49,623,0.73,0.59,0.13,0
CUST_0092,Female,41-60,Urban,11231.49,38278.47,17.15,Home,Approved,298,1200.39,0.53,0.58,503,0.44,0.52,0.7,0
CUST_0093,Male,<25,Semi-Urban,3244.48,28502.58,15.25,Business,Approved,238,1034.19,0.76,0.39,471,0.3,0.35,0.46,0
CUST_0094,Male,<25,Rural,6130.03,38777.39,9.61,Education,Approved,106,138.36,0.71,0.42,516,0.46,0.44,0.53,0
CUST_0095,Female,<25,Rural,14592.77,25195.98,8.53,Car,Approved,25,1945.32,0.19,0.64,544,0.07,0.41,0.15,0
CUST_0096,Male,25-40,Rural,5410.46,26613.91,9.41,Personal,Approved,288,1092.62,0.47,0.34,635,0.8,0.52,0.14,0
CUST_0097,Female,25-40,Rural,6069.65,21949.51,8.73,Car,Approved,144,1034.19,0.47,0.13,597,0.24,0.17,0.58,0
CUST_0098,Male,25-40,Semi-Urban,12874.48,2245.54,20.59,Education,Approved,35,1045.03,0.38,0.53,481,0.73,0.61,0.99,1
CUST_0099,Female,60+,Rural,2652.79,6286.68,12,Car,Approved,21,1225.36,0.52,0.71,633,0.07,0.45,0.1,0
CUST_0100,Female,60+,Rural,8039.97,2540.03,6.16,Education,Rejected,81,535.96,0.41,0.64,810,0.96,0.77,0.29,0
CUST_0101,Female,60+,Rural,6935.02,32184.11,24.38,Home,Approved,142,1034.19,0.2,0.54,682,0.19,0.4,0.87,1
CUST_0102,Male,<25,Semi-Urban,6115.63,16403.44,22.68,Personal,Approved,115,1027.56,0.41,0.75,498,0.88,0.8,0.07,0
CUST_0103,Male,25-40,Urban,5714.09,25919.96,23.56,Education,Approved,229,1615.3,0.07,0.72,631,0.81,0.76,0.88,1
CUST_0104,Male,<25,Rural,3187.86,45470.76,24.9,Car,Approved,186,109.23,0.58,0.43,464,0.97,0.65,0.52,0
CUST_0105,Female,<25,Semi-Urban,6092.74,13215.32,8.48,Personal,Rejected,291,1034.19,0.85,0.55,541,0.48,0.52,0.41,0
CUST_0106,Female,41-60,Semi-Urban,2559.68,21108.76,12.92,Home,Approved,142,1615.49,0.73,0.56,526,0.73,0.63,0.31,0
CUST_0107,Male,<25,Rural,12152.53,38022.01,20.16,Personal,Approved,31,322.27,0.36,0.48,750,0.37,0.44,0.3,0
CUST_0108,Male,60+,Urban,7176.96,12211.11,18.92,Education,Approved,278,39.89,0.09,0.73,495,0.18,0.51,0.31,0
CUST_0109,Female,25-40,Urban,7770.75,4772.02,8.08,Home,Approved,170,632.3,0.2,0.47,503,0.44,0.46,0.88,1
CUST_0110,Male,25-40,Urban,13616.73,15197.82,21.32,Car,Approved,116,1034.19,0.55,0.4,757,0.17,0.31,0.72,1
CUST_0111,Male,<25,Semi-Urban,10554.71,8899.84,9.49,Home,Approved,288,285.18,0.21,0,556,0.98,0.39,0.67,0
CUST_0112,Male,60+,Rural,2104.77,46555.18,9.48,Home,Approved,244,857.98,0.54,0.34,828,0.1,0.24,0.8,1
CUST_0113,Female,60+,Rural,14261.27,40597.9,15.74,Business,Defaulted,27,1109.12,0.23,0.24,571,0.59,0.38,0.26,0
CUST_0114,Female,60+,Semi-Urban,5082.88,32036.78,16.86,Home,Approved,251,1201.78,0.85,0.49,308,0.63,0.55,0.62,0
CUST_0115,Other,25-40,Rural,3398.98,43701.57,16.6,Home,Approved,126,556.08,0.4,0.25,500,0.54,0.37,0.46,0
CUST_0116,Male,60+,Rural,11985.67,40379.93,6.83,Personal,Approved,295,806.06,0.25,0.62,358,0.66,0.64,0.78,1
CUST_0117,Female,60+,Urban,8506.21,10141.93,22.55,Car,Approved,291,1558.9,0.81,0.72,692,0.12,0.48,0.31,0
CUST_0118,Female,<25,Rural,7639.02,44735.39,10.31,Personal,Approved,153,1883.02,0.34,0.49,418,0.56,0.52,0.64,0
CUST_0119,Male,41-60,Rural,5243.54,27427.77,7.59,Personal,Approved,214,1725.14,0.11,0.3,698,0.29,0.3,0.88,1
CUST_0120,Female,60+,Semi-Urban,9117.13,40564.57,22.77,Education,Approved,48,1132.92,0.57,0.56,630,0.94,0.71,0.4,0
CUST_0121,Male,<25,Semi-Urban,5567,44908.47,24.11,Personal,Approved,163,826.48,0.58,0.88,566,0.76,0.83,0.07,0
CUST_0122,Male,<25,Urban,13720.58,16582.17,22.24,Business,Approved,185,672.58,0.71,0.82,819,0.97,0.88,0.52,0
CUST_0123,Male,60+,Semi-Urban,4797.66,6392.54,21.19,Business,Approved,250,258.66,0.24,0.22,779,0.04,0.15,0.35,0
CUST_0124,Male,41-60,Urban,13496.62,12168.82,18.1,Education,Approved,143,222.04,0.44,0.21,433,0.29,0.24,0.67,0
CUST_0125,Female,25-40,Urban,9272.27,21928.28,16.02,Car,Approved,55,1379.83,0.28,0.16,654,0.2,0.18,0.95,1
CUST_0126,Male,41-60,Rural,12770.35,41082.72,6.74,Car,Approved,59,526.99,0.08,0.27,797,0.01,0.17,0.49,0
CUST_0127,Male,60+,Urban,11267,43175.8,13.17,Personal,Approved,175,516.78,0.88,0.55,406,0.24,0.43,0.47,0
CUST_0128,Male,41-60,Rural,11057.04,1340.65,12.45,Personal,Approved,115,1996.41,0.73,0.39,589,0.68,0.51,0.65,0
CUST_0129,Female,<25,Urban,6216.5,26026.62,10.2,Personal,Approved,225,383.97,0.3,0.33,446,0.23,0.29,0.1,0
CUST_0130,Female,<25,Semi-Urban,5040.66,21453.14,19.47,Car,Approved,155,304.64,0.6,0.71,626,0.51,0.63,0.25,0
CUST_0131,Female,41-60,Semi-Urban,4741.52,11883.28,14.92,Home,Approved,81,206.38,0.2,0.61,714,0.89,0.72,0.92,1
CUST_0132,Female,25-40,Semi-Urban,13143.49,6873.4,6.62,Business,Rejected,282,1163.81,0.89,0.16,509,0.69,0.37,0.67,0
CUST_0133,Male,41-60,Urban,12665.55,17543.14,9.4,Home,Approved,256,1259.45,0.11,0.7,595,0.39,0.58,0.01,0
CUST_0134,Male,60+,Urban,7727.46,47202.58,18.67,Home,Rejected,195,736.8,0,0.6,697,0.37,0.51,0.2,0
CUST_0135,Female,25-40,Rural,3721.26,16836.94,6.52,Car,Approved,79,1075.47,0.5,0.61,402,0.46,0.55,0.68,0
CUST_0136,Male,41-60,Rural,6969.28,26420.74,22.02,Home,Approved,159,1578.92,0.58,0.39,807,0.18,0.31,0.76,1
CUST_0137,Male,41-60,Rural,10051.46,35447.93,14.9,Education,Approved,255,1638.03,0.58,0.46,508,0.63,0.53,0.84,1
CUST_0138,Female,25-40,Rural,7907.24,18817.85,14.61,Personal,Approved,271,1916.25,0.05,0.11,727,0.36,0.21,0.29,0
CUST_0139,Male,41-60,Urban,12142.46,48617.32,16.85,Education,Approved,35,1650.29,0.31,0.67,692,0.85,0.74,0.93,1
CUST_0140,Male,60+,Urban,14969.1,48159.92,21.49,Business,Defaulted,149,1134.03,0.5,0.3,408,0.76,0.48,0.55,0
CUST_0141,Male,<25,Rural,4484.72,13337.33,11.96,Personal,Approved,108,367.52,0.22,0.33,647,0.61,0.44,0.7,0
CUST_0142,Male,60+,Urban,7975.46,25365.18,18.56,Home,Approved,287,208.53,0.87,0.32,349,0.36,0.34,0.6,0
CUST_0143,Female,41-60,Urban,7602.79,15743.04,16.31,Business,Approved,60,118.48,0.09,0.86,404,0.21,0.6,0.12,0
CUST_0144,Female,<25,Urban,5958.4,14957.18,10.34,Personal,Approved,160,1336.39,0.49,0.37,719,0.78,0.53,0.96,1
CUST_0145,Female,25-40,Urban,4575.24,2807.46,22.57,Home,Approved,113,1617,0.69,0.69,672,0.49,0.61,0.12,0
CUST_0146,Female,60+,Rural,2854,30868.65,20.95,Education,Approved,98,1022.28,0.26,0.5,326,0.22,0.39,0.25,0
CUST_0147,Male,25-40,Rural,13532.55,25631.27,18.17,Personal,Approved,150,118.88,0.62,0.33,572,0.2,0.28,0.81,1
CUST_0148,Male,<25,Urban,7458.03,3522.46,22.01,Home,Approved,222,1075.59,0.83,0.3,639,0.17,0.25,0.62,0
CUST_0149,Male,41-60,Semi-Urban,8459.64,14653.68,22.35,Education,Approved,242,1872.14,0.19,0.37,600,0.78,0.53,0.84,1
CUST_0150,Male,<25,Rural,13920.25,45505.03,19.17,Business,Approved,192,1199.25,0.92,0.49,779,0.23,0.39,0.52,0
CUST_0151,Other,<25,Rural,12091.78,12738.53,21.74,Business,Approved,260,1034.19,0.55,0.62,843,0.53,0.58,0.38,0
CUST_0152,Female,25-40,Semi-Urban,3696.52,8099.85,18.95,Business,Approved,18,1602.3,0.3,0.41,564,0.45,0.43,0.92,1
CUST_0153,Male,60+,Rural,9350.46,24983.19,18.6,Business,Approved,88,1864.94,0.43,0.4,841,0.58,0.47,0.04,0
CUST_0154,Male,<25,Semi-Urban,7749.28,49296.87,17.37,Car,Approved,61,1542.76,0.31,0.32,465,0.88,0.54,0.86,1
CUST_0155,Male,41-60,Semi-Urban,12363.74,12860.71,20.05,Personal,Approved,278,1497.92,0.73,0.26,615,0.87,0.5,0.23,0
CUST_0156,Male,<25,Urban,11415.02,33934.64,8.17,Personal,Defaulted,235,475.86,0.8,0.24,300,0.45,0.32,0.85,1
CUST_0157,Male,25-40,Rural,10975.27,38319.36,22.62,Car,Approved,60,129.25,0.83,0.7,560,0.02,0.43,0.14,0
CUST_0158,Female,60+,Semi-Urban,6427.08,12644.24,22.44,Home,Approved,195,1034.19,0.99,0.39,362,0.43,0.41,0.58,0
CUST_0159,Female,41-60,Urban,12464.53,36682.6,5.58,Home,Approved,43,257.62,0.79,0.41,782,0.61,0.49,0.89,1
CUST_0160,Female,25-40,Rural,2681.09,19021.37,21.52,Business,Rejected,239,1034.19,0.6,0.37,620,0.56,0.45,0.47,0
CUST_0161,Male,<25,Urban,4075.12,31982.99,7.58,Education,Rejected,140,586.95,0.34,0.44,500,0.65,0.52,0.75,1
CUST_0162,Male,<25,Urban,6363.1,32042.96,11.7,Home,Approved,129,1707.36,0.54,0.57,521,0.15,0.4,0.8,1
CUST_0163,Female,60+,Semi-Urban,2998.5,27252.96,19.87,Education,Defaulted,256,781.37,0.04,0.4,451,0.65,0.5,0.74,1
CUST_0164,Female,25-40,Rural,5054.93,5424.2,8.22,Personal,Approved,201,653.16,0.74,0.54,761,0.18,0.4,0.93,1
CUST_0165,Female,25-40,Urban,12791.96,41929.82,21.36,Education,Approved,219,1870.97,0.45,0.78,516,0.75,0.77,0.45,0
CUST_0166,Female,60+,Semi-Urban,14327.27,16718.22,21.64,Personal,Approved,112,733.01,0.02,0.34,495,0.34,0.34,0.17,0
CUST_0167,Female,41-60,Semi-Urban,5959.83,10139.41,15.15,Car,Approved,142,786.67,0.06,0.41,501,0.71,0.53,0.05,0
CUST_0168,Female,25-40,Urban,5438.71,2997.98,5.13,Car,Rejected,148,221.12,0.39,0.63,533,0.05,0.4,0.25,0
CUST_0169,Male,60+,Urban,5638.6,29953.75,10.74,Business,Approved,130,1344.19,0.58,0.8,440,0.41,0.64,0.14,0
CUST_0170,Female,25-40,Semi-Urban,5610.35,34200.65,17.34,Home,Approved,103,584.79,0.46,0.25,797,0.71,0.43,0.56,0
CUST_0171,Male,60+,Urban,2467.09,1812.8,24.62,Business,Approved,138,1175.35,0.62,0.16,356,0.23,0.19,0.18,0
CUST_0172,Male,<25,Urban,14049.91,26092.56,17.64,Personal,Approved,100,1186.79,0.48,0.5,803,0.8,0.62,0.04,0
CUST_0173,Female,<25,Rural,4778.08,12098.29,10.2,Business,Approved,101,1441.21,0.66,0.48,441,0.63,0.54,0.04,0
CUST_0174,Male,25-40,Semi-Urban,7460.05,32613.47,17.68,Education,Approved,72,1493.03,0.22,0.64,838,0.59,0.62,0.83,1
CUST_0175,Male,25-40,Urban,2125.93,9543.96,15.8,Personal,Approved,38,1033.76,0.11,0.61,405,0.35,0.51,0.59,0
CUST_0176,Male,<25,Semi-Urban,13153.42,34855.95,20.6,Car,Approved,219,668.67,0.6,0.49,464,0.48,0.49,0.36,0
CUST_0177,Male,41-60,Rural,11505.05,19950.03,7.14,Home,Approved,21,1034.19,0.48,0.71,514,0.6,0.67,0.89,1
CUST_0178,Male,60+,Semi-Urban,14307.83,46899.77,20.22,Personal,Approved,139,626.63,0.03,0.36,370,0.47,0.4,0.07,0
CUST_0179,Male,41-60,Semi-Urban,12161,7738.53,15.83,Personal,Approved,182,1019.94,0.38,0.54,389,0.7,0.6,0.98,1
CUST_0180,Male,41-60,Semi-Urban,6078.18,17712.25,24.26,Education,Rejected,217,808.49,0.11,0.26,527,0.43,0.33,0.62,0
CUST_0181,Male,41-60,Rural,5222.35,6560.2,11.84,Home,Approved,33,1711.61,0.53,0.49,378,0.2,0.37,0.18,0
CUST_0182,Other,<25,Rural,11070.31,46309.99,17.65,Car,Approved,108,869.52,0.4,0.21,648,0.21,0.21,0.68,0
CUST_0183,Male,25-40,Semi-Urban,6733.47,43989.63,23.64,Personal,Approved,148,1034.19,0.61,0.28,545,0.01,0.17,0.76,1
CUST_0184,Male,41-60,Semi-Urban,9360.8,13639.14,7.05,Personal,Approved,183,1382.75,0.81,0.84,571,0.3,0.62,0.43,0
CUST_0185,Female,<25,Rural,2081.35,33339.22,23.74,Education,Approved,38,1208.86,0.3,0.14,702,0.75,0.38,0.86,1
CUST_0186,Female,60+,Urban,2804.51,41043.89,18.76,Business,Approved,152,223.42,0.96,0.46,415,0.79,0.59,0.15,0
CUST_0187,Female,25-40,Rural,8959.78,28204.84,6.36,Car,Approved,51,1021.26,0.54,0.67,734,0.2,0.48,0.28,0
CUST_0188,Male,60+,Semi-Urban,9358.93,26952.88,11.02,Home,Defaulted,217,1473.6,0.62,0.94,829,0.96,0.95,0.09,0
CUST_0189,Female,41-60,Urban,11768.89,12850.76,19.16,Personal,Approved,201,1984.23,0.68,0.54,741,0.5,0.52,0.21,0
CUST_0190,Female,25-40,Urban,3715.55,5562.04,6.35,Personal,Approved,169,1262,0.67,0.55,471,0.92,0.7,0.24,0
CUST_0191,Female,41-60,Urban,8671.38,44963.57,16.64,Car,Approved,73,746.88,0.51,0.51,315,0.71,0.59,0.92,1
CUST_0192,Female,25-40,Rural,4527.82,45120.48,11.92,Business,Approved,252,460.04,0.43,0.71,355,0.72,0.71,0.08,0
